,COURSE,UPC Code and Acronyms,Municipality_Course,Postal Code Course,Total Course
0,22-23,200 FME,Abrera,8034,1
1,22-23,200 FME,Alella,8328,2
2,22-23,200 FME,Alicante,3007,1
3,22-23,200 FME,Ametlla de,8480,1
4,22-23,200 FME,Arenys de ,8358,1
5,22-23,200 FME,Argentona,8310,2
6,22-23,200 FME,Badalona,8912,1
7,22-23,200 FME,Badalona,8914,2
8,22-23,200 FME,Badalona,8915,1
9,22-23,200 FME,Badalona,8917,3
10,22-23,200 FME,Barberà de,8210,1
11,22-23,200 FME,Barcelona,8001,20
12,22-23,200 FME,Barcelona,8004,1
13,22-23,200 FME,Barcelona,8005,3
14,22-23,200 FME,Barcelona,8006,4
15,22-23,200 FME,Barcelona,8007,1
16,22-23,200 FME,Barcelona,8008,2
17,22-23,200 FME,Barcelona,8009,1
18,22-23,200 FME,Barcelona,8010,1
19,22-23,200 FME,Barcelona,8011,5
20,22-23,200 FME,Barcelona,8012,10
21,22-23,200 FME,Barcelona,8013,8
22,22-23,200 FME,Barcelona,8014,12
23,22-23,200 FME,Barcelona,8015,10
24,22-23,200 FME,Barcelona,8016,1
25,22-23,200 FME,Barcelona,8017,6
26,22-23,200 FME,Barcelona,8018,6
27,22-23,200 FME,Barcelona,8019,2
28,22-23,200 FME,Barcelona,8020,3
29,22-23,200 FME,Barcelona,8021,6
30,22-23,200 FME,Barcelona,8022,4
31,22-23,200 FME,Barcelona,8023,8
32,22-23,200 FME,Barcelona,8024,5
33,22-23,200 FME,Barcelona,8025,6
34,22-23,200 FME,Barcelona,8026,4
35,22-23,200 FME,Barcelona,8027,8
36,22-23,200 FME,Barcelona,8028,47
37,22-23,200 FME,Barcelona,8029,15
38,22-23,200 FME,Barcelona,8030,1
39,22-23,200 FME,Barcelona,8031,3
40,22-23,200 FME,Barcelona,8032,2
41,22-23,200 FME,Barcelona,8033,1
42,22-23,200 FME,Barcelona,8034,12
43,22-23,200 FME,Barcelona,8035,1
44,22-23,200 FME,Barcelona,8036,4
45,22-23,200 FME,Barcelona,8037,2
46,22-23,200 FME,Barcelona,8038,3
47,22-23,200 FME,Barcelona,8041,3
48,22-23,200 FME,Barcelona,8042,3
49,22-23,200 FME,Benicarló,12580,1
50,22-23,200 FME,Berga,8600,1
51,22-23,200 FME,Cabrils,8348,1
52,22-23,200 FME,Caldes de ,8140,2
53,22-23,200 FME,Calvià,7181,1
54,22-23,200 FME,Cardona,8261,1
55,22-23,200 FME,Castellbel,8296,1
56,22-23,200 FME,Castellbis,8755,1
57,22-23,200 FME,Castelldef,8860,9
58,22-23,200 FME,Cerdanyola,8290,3
59,22-23,200 FME,Corbera de,8757,2
60,22-23,200 FME,Cornellà d,8940,6
61,22-23,200 FME,Cornellà d,17844,1
62,22-23,200 FME,El Masnou,8320,2
63,22-23,200 FME,El Masnou,9320,1
64,22-23,200 FME,El Prat de,8820,1
65,22-23,200 FME,Esparregue,8292,1
66,22-23,200 FME,Esplugues ,8950,5
67,22-23,200 FME,Esponellà,17832,1
68,22-23,200 FME,Font-rubí,8736,1
69,22-23,200 FME,Franqueses,8520,1
70,22-23,200 FME,Garriguell,17780,1
71,22-23,200 FME,Girona,17001,1
72,22-23,200 FME,Girona,17003,1
73,22-23,200 FME,Granollers,8401,1
74,22-23,200 FME,Granollers,8402,1
75,22-23,200 FME,Hospitalet,8901,4
76,22-23,200 FME,Hospitalet,8902,1
77,22-23,200 FME,Hospitalet,8904,1
78,22-23,200 FME,Hospitalet,8906,1
79,22-23,200 FME,Hostalets ,8781,1
80,22-23,200 FME,Igualada,8700,4
81,22-23,200 FME,Jafre,17143,1
82,22-23,200 FME,La Fuliola,25332,1
83,22-23,200 FME,La Garriga,8530,1
84,22-23,200 FME,La Torre d,8789,1
85,22-23,200 FME,Laukiz,48111,1
86,22-23,200 FME,Lleida,25001,1
87,22-23,200 FME,Lliçà de V,8185,1
88,22-23,200 FME,Lloret de ,17310,1
