,Answer,Gender,Center,Year,Days,ZipCode,GoStage1,GoStage2,GoStage3,SameBack,BackStage1,BackStage2,BackStage3,Fastest,Cheapest,Comfortable,OnlyOption,Environmental,Healthiest,OtherTrips,Other
0,11,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8302,Bus,FGC,On foot,No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,No,No,No,Yes,No,No,No,
1,12,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8290,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,No,No,No,No,No,No,Yes,
2,16,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8397,Combustion or electric motorcycle with non-renewable source charging,Renfe,Underground,Yes,,,,No,Yes,No,No,Yes,No,No,
3,31,Man,Polytechnic School of Engineering of Manresa (EPSEM),Second,4,8243,On foot,On foot,On foot,Yes,,,,Yes,No,No,No,Yes,No,No,
4,36,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Fourth,2,8401,Renfe,Underground,,Yes,,,,No,No,No,Yes,No,No,No,
5,38,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Third,5,8002,,,Underground,Yes,,,,No,Yes,No,No,No,No,No,
6,46,Woman,Polytechnic School of Engineering of Manresa (EPSEM),Fourth,3,8241,,On foot,,Yes,,,,Yes,No,No,No,No,No,No,
7,49,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,4,8024,On foot,FGC,On foot,Yes,,,,No,Yes,No,No,No,No,No,
8,51,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8227,On foot,On foot,On foot,No,On foot,On foot,On foot,No,Yes,Yes,No,No,No,No,
9,52,Man,Barcelona School of Informatics (FIB),First,5,8197,On foot,FGC,Bus,Yes,,,,Yes,Yes,No,No,No,No,No,
10,53,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,5,8014,On foot,Underground,FGC,Yes,,,,Yes,No,No,Yes,No,No,No,
11,54,Man,Barcelona School of Informatics (FIB),Third,2,8720,On foot,Bus,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
12,58,Woman,Barcelona School of Informatics (FIB),First,5,8031,Bus,On foot,On foot,No,Bus,Bus,On foot,Yes,No,Yes,No,No,No,No,
13,60,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,6,8029,Underground,,,No,On foot,,,Yes,No,No,No,Yes,No,No,
14,66,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,5,8902,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,No,No,Yes,No,No,No,No,
15,67,Woman,Faculty of Mathematics and Statistics (FME),First,5,8027,On foot,Underground,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
16,68,Woman,School of Architecture of Vallès (ETSAV),Third,5,8186,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,No,No,No,No,Yes,
17,70,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,4,8018,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,Yes,No,Yes,No,No,No,No,
18,72,Man,School of Engineering of Barcelona East (EEBE),Fourth,3,,Bus,Underground,Tram,Yes,,,,Yes,No,No,No,No,No,No,
19,79,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Third,4,8950,On foot,Tram,On foot,Yes,,,,Yes,No,No,No,Yes,No,No,
20,85,Man,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,3,8030,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Underground,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
21,86,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,3,8903,Underground,Underground,On foot,Yes,,,,Yes,No,No,No,No,Yes,No,
22,87,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Fourth,5,8211,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,On foot,Yes,,,,Yes,No,No,No,No,No,No,"During peak hours and for a one-way trip, it takes me 2 hours by car..."
23,91,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,3,8028,On foot,,,Yes,,,,No,No,Yes,No,No,Yes,No,
24,96,Woman,School of Engineering of Barcelona East (EEBE),Fourth,5,8500,Underground,Tram,,Yes,,,,Yes,Yes,No,No,No,No,No,
25,100,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),Second,4,,On foot,Renfe,On foot,Yes,,,,Yes,No,No,Yes,No,No,No,
26,102,Man,Faculty of Mathematics and Statistics (FME),Second,1,8003,On foot,Underground,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
27,103,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8020,Underground,Bus,,Yes,,,,No,Yes,No,No,Yes,No,No,
28,104,Man,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,4,8830,On foot,Bus,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
29,108,Woman,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8330,Bus,Renfe,Bus,Yes,,,,Yes,No,Yes,No,No,No,No,
30,113,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,3,8960,FGC,Bus,,Yes,,,,Yes,No,No,No,Yes,No,No,
31,116,Woman,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,3,8028,Renfe,Renfe,Renfe,Yes,,,,No,No,Yes,No,No,No,No,
32,117,Woman,Barcelona School of Informatics (FIB),First,4,8022,On foot,Bus,On foot,Yes,,,,No,Yes,No,No,No,No,No,
33,118,Man,Polytechnic School of Engineering of Manresa (EPSEM),Fourth,5,8243,On foot,On foot,,Yes,,,,No,No,No,No,No,No,Yes,
34,119,Man,Barcelona School of Informatics (FIB),Second,5,8205,On foot,FGC,On foot,No,Bus,FGC,On foot,Yes,Yes,No,No,No,No,No,
35,124,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8338,Bus,Bus,Bus,Yes,,,,No,Yes,No,No,No,No,No,
36,128,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Second,5,9850,On foot,Tram,,Yes,,,,Yes,No,No,No,No,No,No,
37,129,Man,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8921,Underground,,,No,Underground,,,Yes,No,No,No,No,No,No,
38,131,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8172,On foot,FGC,,Yes,,,,Yes,Yes,No,No,No,No,No,
39,133,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,4,8221,On foot,FGC,Bus,No,On foot,Renfe,FGC,Yes,No,Yes,No,No,No,No,
40,138,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8028,Bicycle,Bicycle,Bicycle,Yes,,,,Yes,No,No,No,No,Yes,No,
41,141,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Third,5,8011,Underground,Underground,Underground,Yes,,,,Yes,No,No,No,No,No,No,
42,146,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,5,8222,On foot,FGC,Bus,Yes,,,,No,Yes,No,Yes,No,No,No,
43,148,Man,Barcelona School of Informatics (FIB),Second,5,8340,Renfe,Underground,On foot,Yes,,,,No,Yes,No,No,No,No,No,"I can't afford to live near the University and it takes me an hour and a half every day, subjected to very usual delays from Renfe"
44,150,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,5,8903,On foot,Underground,On foot,Yes,,,,Yes,No,No,No,No,No,No,
45,151,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8029,Underground,,,Yes,,,,Yes,No,No,No,No,No,No,
46,152,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,3,8202,On foot,Renfe,On foot,Yes,,,,No,No,No,No,Yes,Yes,No,
47,154,Man,Faculty of Optics and Optometry of Terrassa (FOOT),Third,3,8222,On foot,,,Yes,,,,Yes,No,No,No,No,No,No,
48,157,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,1,8020,On foot,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,Yes,,,,Yes,No,No,No,No,No,Yes,
49,161,Man,School of Engineering of Barcelona East (EEBE),Second,5,,Underground,,,Yes,,,,Yes,Yes,No,No,No,No,No,
50,169,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,5,8015,Underground,Underground,,Yes,,,,Yes,No,No,Yes,No,No,No,
51,170,Man,School of Engineering of Barcelona East (EEBE),Second,4,8009,Bus,On foot,,No,Tram,Underground,FGC,Yes,No,No,No,No,No,No,
52,171,Man,School of Engineering of Barcelona East (EEBE),Third,5,8013,On foot,On foot,Tram,No,Underground,On foot,On foot,Yes,Yes,No,No,No,No,No,
53,172,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",First,5,8221,On foot,FGC,Bus,No,Bus,On foot,,No,No,No,Yes,No,No,No,
