,Número dedeclaraciones,Renta brutamedia,Rentadisponiblemedia,Rentas del trabajo,Rentasexentas,Rentabruta,Cotizacionessocialesa la SS,Cuota resultante deautoliquidación,Rentadisponible
Almería-04013,102.196,25.827,21.137,2.151.166.073,102.896.056,2.639.426.089,100.981.467,378.361.050,2.160.124.229
04001-Centro Rambla- Centro Paseo- Plaza de Toros- Catedral,2.537,38.909,30.135,62.643.114,2.965.184,98.713.318,2.410.370,19.850.407,76.452.667
04002-La Chanca- Las Cuevas de S.Joaquín- Urb.Las Pedrizas- Col.del Morato-Almedina,5.801,19.443,16.475,91.712.260,7.347.787,112.786.003,3.995.016,13.221.475,95.569.512
04003-Pza.de la Constitución- Cerro San Cristobal-Barrio de las Cruces- El Santo,4.714,25.964,21.393,99.605.423,4.646.250,122.395.014,4.139.269,17.410.515,100.845.230
04004-Oliveros- Santa Rita,5.983,33.544,26.614,152.028.935,5.733.287,200.694.138,5.537.723,35.927.133,159.229.545
04005-Barrio Alto- Col.Montserrat-Altamira,6.816,28.305,23.054,155.666.972,7.780.634,192.927.605,6.306.579,29.491.919,157.137.532
04006-Nueva Andalucía- Regiones Devastadas- El Diezmo- La Bolera- Los Molinos,9.487,26.995,22.098,219.133.438,9.603.830,256.104.032,9.738.598,36.729.868,209.641.868
04007-500 viviendas- El Zapillo- Cortijo Grande- Ciudad Jardín- La Bolera,17.806,30.924,24.664,453.725.385,19.242.616,550.626.490,21.711.594,89.749.894,439.170.904
04008-La Molineta- Las Trincheras- Los Ángeles- La Fuentecica- Barrio de la Esperanza,9.181,20.026,17.060,159.601.448,7.848.250,183.858.485,7.676.846,19.554.564,156.627.136
04009-El Puche- La Loma- Las Chocillas- Torre Cárdenas,20.363,23.999,19.808,419.173.810,20.886.363,488.699.953,22.218.941,63.128.817,403.355.336
04120-El Bobar- La Cañada- Costacabana- Loma Cabrera- El Mamí- Venta Gaspar,7.167,21.290,18.040,117.149.170,6.110.981,152.585.163,6.103.479,17.199.855,129.289.129
04130-Alquian,2.779,17.989,15.643,37.391.954,2.090.097,49.992.284,1.987.526,4.532.125,43.472.633
04131-Retamar,4.906,28.587,23.050,109.571.333,4.804.574,140.245.811,5.513.646,21.656.725,113.084.291
Resto,4.656,19.286,16.376,73.762.830,3.836.203,89.797.793,3.641.881,9.907.755,76.248.446
Roquetas de Mar-04079,50.005,22.558,18.743,881.992.870,41.791.364,1.127.991.376,47.321.545,143.445.970,937.237.253
04720-Aguadulce-El Campillo del Moro-Parador de las Hortichuelas,19.178,27.944,22.560,434.005.113,18.800.561,535.917.218,22.744.038,80.523.157,432.658.126
04740-Las Marinas- Roquetas de Mar,29.228,19.307,16.435,429.286.700,21.697.340,564.303.300,23.501.352,60.454.334,480.352.902
Resto,1.599,17.368,15.151,18.701.057,1.293.463,27.770.858,1.076.154,2.468.479,24.226.225
Algeciras-11004,49.833,28.429,23.145,1.222.501.003,63.719.207,1.416.700.371,55.639.981,207.675.936,1.153.387.935
